varian,skenario,s,pct_pdb,pct_komp_tk,pi_maks_pct
baseline,Gandum (9),0.5,0.268437538912257,0.16790618755048536,171.8281828459045
baseline,Gandum (9),1.0,0.5415954981885204,0.3725924230546117,171.8281828459045
baseline,Kedelai (7),0.5,0.2592008399129713,0.13198280281073926,171.8281828459045
baseline,Kedelai (7),1.0,0.6274482290057225,0.36998036551636665,171.8281828459045
baseline,Gula (65),0.5,2.1729660179238173,1.5282106403713775,50.23782615059784
baseline,Gula (65),1.0,8.00406621850358,6.060969185033601,138.88477203652337
baseline,Tepung-terigu dst (61),0.5,1.46574839985365,1.0970300239688024,35.23227439126806
baseline,Tepung-terigu dst (61),1.0,5.479752952719028,4.376800389670035,90.62821350575322
baseline,Kakao (23),0.5,0.4349863246039678,0.2703124066089244,9.695275125018977
baseline,Kakao (23),1.0,1.4011414130613904,0.885271862288088,20.987079219026008
baseline,Olahan buah-sayur (57),0.5,0.10783984103993671,0.0535605984624116,22.314924007113458
baseline,Olahan buah-sayur (57),1.0,0.32607304098825457,0.16789051447778366,53.02638006446192
baseline,Garam (50),0.5,0.07034981891835562,0.04296904067963706,91.86303365967031
baseline,Garam (50),1.0,0.2871503129315097,0.18607820939916236,171.8281828459045
baseline,BUNDEL hasil saringan,0.5,2.642515277736462,1.8054383081001206,171.8281828459045
baseline,BUNDEL hasil saringan,1.0,9.163968602670629,6.871751672396758,171.8281828459045
critshare=0.03,Gandum (9),0.5,0.22014995447612803,0.13199942705472606,171.8281828459045
critshare=0.03,Gandum (9),1.0,0.44475167813366484,0.3004613765074977,171.8281828459045
critshare=0.03,Kedelai (7),0.5,0.25708655198761554,0.1308561148917541,171.8281828459045
critshare=0.03,Kedelai (7),1.0,0.6223301643814674,0.3672492437137985,171.8281828459045
critshare=0.03,Gula (65),0.5,0.38061204704033175,0.2037358610031879,50.23782615059784
critshare=0.03,Gula (65),1.0,1.4031480456192698,0.7978163421940003,138.88477203652337
critshare=0.03,Tepung-terigu dst (61),0.5,0.11733980829021763,0.054483440926196565,35.23227439126806
critshare=0.03,Tepung-terigu dst (61),1.0,0.4313931855744572,0.2121037111414774,90.62821350575322
critshare=0.03,Kakao (23),0.5,0.17609027083674406,0.1060571598882441,9.695275125018977
critshare=0.03,Kakao (23),1.0,0.5671877295801965,0.3487701089224498,20.987079219026008
critshare=0.03,Olahan buah-sayur (57),0.5,0.0774325306833613,0.03842586640039323,22.314924007113458
critshare=0.03,Olahan buah-sayur (57),1.0,0.2344239137281824,0.12087206113488724,53.02638006446192
critshare=0.03,Garam (50),0.5,0.06791739196139415,0.04131795414494795,91.86303365967031
critshare=0.03,Garam (50),1.0,0.2772216208430817,0.17802086996821204,171.8281828459045
critshare=0.03,BUNDEL hasil saringan,0.5,0.8803588160513893,0.4958507654936405,171.8281828459045
critshare=0.03,BUNDEL hasil saringan,1.0,2.6073069178528265,1.6032661256106424,171.8281828459045
critshare=0.05,Gandum (9),0.5,0.22014995447612803,0.13199942705472606,171.8281828459045
critshare=0.05,Gandum (9),1.0,0.44475167813366484,0.3004613765074977,171.8281828459045
critshare=0.05,Kedelai (7),0.5,0.18654575626764977,0.09491081008065178,171.8281828459045
critshare=0.05,Kedelai (7),1.0,0.4515719973682564,0.26769964437481963,171.8281828459045
critshare=0.05,Gula (65),0.5,0.31084727148689284,0.15688252829585175,50.23782615059784
critshare=0.05,Gula (65),1.0,1.1459561541481278,0.6122992948642098,138.88477203652337
critshare=0.05,Tepung-terigu dst (61),0.5,0.11733980829021763,0.054483440926196565,35.23227439126806
critshare=0.05,Tepung-terigu dst (61),1.0,0.4313931855744572,0.2121037111414774,90.62821350575322
critshare=0.05,Kakao (23),0.5,0.11541732285675325,0.06790404913545993,9.695275125018977
critshare=0.05,Kakao (23),1.0,0.37175035923104977,0.2228591197704973,20.987079219026008
critshare=0.05,Olahan buah-sayur (57),0.5,0.0774325306833613,0.03842586640039323,22.314924007113458
critshare=0.05,Olahan buah-sayur (57),1.0,0.2344239137281824,0.12087206113488724,53.02638006446192
critshare=0.05,Garam (50),0.5,0.0,0.0,91.86303365967031
critshare=0.05,Garam (50),1.0,0.0,0.0,171.8281828459045
critshare=0.05,BUNDEL hasil saringan,0.5,0.6648758012475904,0.3659052879778899,171.8281828459045
critshare=0.05,BUNDEL hasil saringan,1.0,1.8959600266148053,1.1308488741435545,171.8281828459045
sigma x0.5,Gandum (9),0.5,0.26896272378154623,0.16821410554740546,171.8281828459045
sigma x0.5,Gandum (9),1.0,0.5419387217370526,0.3729630080053863,171.8281828459045
sigma x0.5,Kedelai (7),0.5,0.2702154634042109,0.1378585874187802,171.8281828459045
sigma x0.5,Kedelai (7),1.0,0.6283109173543004,0.37229967379641493,171.8281828459045
sigma x0.5,Gula (65),0.5,2.4970986079790833,1.761571048473348,50.23782615059784
sigma x0.5,Gula (65),1.0,11.522130985219338,9.84530291133579,138.88477203652337
sigma x0.5,Tepung-terigu dst (61),0.5,1.6912609648295809,1.269538462515623,35.23227439126806
sigma x0.5,Tepung-terigu dst (61),1.0,8.300670397523488,7.474333301669809,90.62821350575322
sigma x0.5,Kakao (23),0.5,0.4992344436712379,0.3105560666723313,9.695275125018977
sigma x0.5,Kakao (23),1.0,4.862049317781477,3.5375604550299684,20.987079219026008
sigma x0.5,Olahan buah-sayur (57),0.5,0.12031125279320161,0.05985792806927547,22.314924007113458
sigma x0.5,Olahan buah-sayur (57),1.0,0.6243418864649141,0.36911210307981146,53.02638006446192
sigma x0.5,Garam (50),0.5,0.08160768693989646,0.049945441318917844,91.86303365967031
sigma x0.5,Garam (50),1.0,0.33757069984354315,0.22979839660150447,171.8281828459045
sigma x0.5,BUNDEL hasil saringan,0.5,2.9865380619624227,2.0521490043548156,171.8281828459045
sigma x0.5,BUNDEL hasil saringan,1.0,13.014466139760973,11.015045227489223,171.8281828459045
sigma x2,Gandum (9),0.5,0.2680945606994969,0.16770486301481302,171.8281828459045
sigma x2,Gandum (9),1.0,0.5407534214743671,0.37131249372513625,171.8281828459045
sigma x2,Kedelai (7),0.5,0.2526902329383538,0.12852270849481887,171.8281828459045
sigma x2,Kedelai (7),1.0,0.575246383516133,0.3211879626582532,171.8281828459045
sigma x2,Gula (65),0.5,2.0213407366434986,1.4195691743122631,50.23782615059784
sigma x2,Gula (65),1.0,5.149987932215954,3.7381918978859514,138.88477203652337
sigma x2,Tepung-terigu dst (61),0.5,1.3611320943881948,1.0173512800656208,35.23227439126806
sigma x2,Tepung-terigu dst (61),1.0,3.4787627181038756,2.6773331422890947,90.62821350575322
sigma x2,Kakao (23),0.5,0.4063812580346886,0.2524220440293492,9.695275125018977
sigma x2,Kakao (23),1.0,0.9859061962296697,0.6182848087580366,20.987079219026008
sigma x2,Olahan buah-sayur (57),0.5,0.10198367110119906,0.050611585202027416,22.314924007113458
sigma x2,Olahan buah-sayur (57),1.0,0.24280347668892988,0.12309086612620813,53.02638006446192
sigma x2,Garam (50),0.5,0.06500520453506138,0.039667547114016766,91.86303365967031
sigma x2,Garam (50),1.0,0.17210602877365705,0.10732972540686705,171.8281828459045
sigma x2,BUNDEL hasil saringan,0.5,2.4820845304682346,1.6908333397096618,171.8281828459045
sigma x2,BUNDEL hasil saringan,1.0,6.16758223001655,4.412713204122668,171.8281828459045
psi=0.5,Gandum (9),0.5,0.268437538912257,0.12272043875485757,171.8281828459045
psi=0.5,Gandum (9),1.0,0.5415954981885204,0.30786113969986234,171.8281828459045
psi=0.5,Kedelai (7),0.5,0.2592008399129713,0.09673332919160015,171.8281828459045
psi=0.5,Kedelai (7),1.0,0.6274482290057225,0.31857384777368153,171.8281828459045
psi=0.5,Gula (65),0.5,2.1729660179238173,1.1056430961668842,50.23782615059784
psi=0.5,Gula (65),1.0,8.00406621850358,4.639112516378954,138.88477203652337
psi=0.5,Tepung-terigu dst (61),0.5,1.46574839985365,0.7925823954562607,35.23227439126806
psi=0.5,Tepung-terigu dst (61),1.0,5.479752952719028,3.3165801853306722,90.62821350575322
psi=0.5,Kakao (23),0.5,0.4349863246039678,0.19394889301582796,9.695275125018977
psi=0.5,Kakao (23),1.0,1.4011414130613904,0.6425095228861741,20.987079219026008
psi=0.5,Olahan buah-sayur (57),0.5,0.10783984103993671,0.03861364043620596,22.314924007113458
psi=0.5,Olahan buah-sayur (57),1.0,0.32607304098825457,0.12426532110006612,53.02638006446192
psi=0.5,Garam (50),0.5,0.07034981891835562,0.03093208538954421,91.86303365967031
psi=0.5,Garam (50),1.0,0.2871503129315097,0.14064534160666578,171.8281828459045
psi=0.5,BUNDEL hasil saringan,0.5,2.642515277736462,1.310323085859697,171.8281828459045
psi=0.5,BUNDEL hasil saringan,1.0,9.163968602670629,5.336849593364571,171.8281828459045
psi=1.0,Gandum (9),0.5,0.268437538912257,0.2322982798357494,171.8281828459045
psi=1.0,Gandum (9),1.0,0.5415954981885204,0.4681322600958563,171.8281828459045
psi=1.0,Kedelai (7),0.5,0.2592008399129713,0.18176392865939556,171.8281828459045
psi=1.0,Kedelai (7),1.0,0.6274482290057225,0.4399964390859053,171.8281828459045
psi=1.0,Gula (65),0.5,2.1729660179238173,2.142269861441967,50.23782615059784
psi=1.0,Gula (65),1.0,8.00406621850358,7.892533657358186,138.88477203652337
psi=1.0,Tepung-terigu dst (61),0.5,1.46574839985365,1.5409950132641568,35.23227439126806
psi=1.0,Tepung-terigu dst (61),1.0,5.479752952719028,5.764275028734063,90.62821350575322
psi=1.0,Kakao (23),0.5,0.4349863246039678,0.38358951881749226,9.695275125018977
psi=1.0,Kakao (23),1.0,1.4011414130613904,1.2355897220246927,20.987079219026008
psi=1.0,Olahan buah-sayur (57),0.5,0.10783984103993671,0.0754791454202401,22.314924007113458
psi=1.0,Olahan buah-sayur (57),1.0,0.32607304098825457,0.2282294297539181,53.02638006446192
psi=1.0,Garam (50),0.5,0.07034981891835562,0.06068758986280097,91.86303365967031
psi=1.0,Garam (50),1.0,0.2871503129315097,0.2477115312808693,171.8281828459045
psi=1.0,BUNDEL hasil saringan,0.5,2.642515277736462,2.519907364621541,171.8281828459045
psi=1.0,BUNDEL hasil saringan,1.0,9.163968602670629,8.843240783066713,171.8281828459045
epsilon x0.5,Gandum (9),0.5,0.268437538912257,0.16790618755048536,171.8281828459045
epsilon x0.5,Gandum (9),1.0,0.5415954981885204,0.3725924230546117,171.8281828459045
epsilon x0.5,Kedelai (7),0.5,0.2592008399129713,0.13198280281073926,171.8281828459045
epsilon x0.5,Kedelai (7),1.0,0.6274482290057225,0.36998036551636665,171.8281828459045
epsilon x0.5,Gula (65),0.5,2.1729660179238173,1.5282106403713775,125.71404406457263
epsilon x0.5,Gula (65),1.0,8.00406621850358,6.060969185033601,171.8281828459045
epsilon x0.5,Tepung-terigu dst (61),0.5,1.46574839985365,1.0970300239688024,82.87768037035217
epsilon x0.5,Tepung-terigu dst (61),1.0,5.479752952719028,4.376800389670035,171.8281828459045
epsilon x0.5,Kakao (23),0.5,0.4349863246039678,0.2703124066089244,20.330533847536092
epsilon x0.5,Kakao (23),1.0,1.4011414130613904,0.885271862288088,46.37873337950875
epsilon x0.5,Olahan buah-sayur (57),0.5,0.10783984103993671,0.0535605984624116,49.609406348659405
epsilon x0.5,Olahan buah-sayur (57),1.0,0.32607304098825457,0.16789051447778366,134.1707299563315
epsilon x0.5,Garam (50),0.5,0.07034981891835562,0.04296904067963706,171.8281828459045
epsilon x0.5,Garam (50),1.0,0.2871503129315097,0.18607820939916236,171.8281828459045
epsilon x0.5,BUNDEL hasil saringan,0.5,2.642515277736462,1.8054383081001206,171.8281828459045
epsilon x0.5,BUNDEL hasil saringan,1.0,9.163968602670629,6.871751672396758,171.8281828459045
epsilon x1.5,Gandum (9),0.5,0.268437538912257,0.16790618755048536,171.8281828459045
epsilon x1.5,Gandum (9),1.0,0.5415954981885204,0.3725924230546117,171.8281828459045
epsilon x1.5,Kedelai (7),0.5,0.2592008399129713,0.13198280281073926,171.8281828459045
epsilon x1.5,Kedelai (7),1.0,0.6274482290057225,0.36998036551636665,171.8281828459045
epsilon x1.5,Gula (65),0.5,2.1729660179238173,1.5282106403713775,31.17553998837659
epsilon x1.5,Gula (65),1.0,8.00406621850358,6.060969185033601,78.7004491388878
epsilon x1.5,Tepung-terigu dst (61),0.5,1.46574839985365,1.0970300239688024,22.28886142218689
epsilon x1.5,Tepung-terigu dst (61),1.0,5.479752952719028,4.376800389670035,53.74161961507726
epsilon x1.5,Kakao (23),0.5,0.4349863246039678,0.2703124066089244,6.363335424644023
epsilon x1.5,Kakao (23),1.0,1.4011414130613904,0.885271862288088,13.542729001616284
epsilon x1.5,Olahan buah-sayur (57),0.5,0.10783984103993671,0.0535605984624116,14.37197830636332
epsilon x1.5,Olahan buah-sayur (57),1.0,0.32607304098825457,0.16789051447778366,32.79371983132946
epsilon x1.5,Garam (50),0.5,0.07034981891835562,0.04296904067963706,54.40482638403174
epsilon x1.5,Garam (50),1.0,0.2871503129315097,0.18607820939916236,165.08757174423639
epsilon x1.5,BUNDEL hasil saringan,0.5,2.642515277736462,1.8054383081001206,171.8281828459045
epsilon x1.5,BUNDEL hasil saringan,1.0,9.163968602670629,6.871751672396758,171.8281828459045
lambda=0.5,Gandum (9),0.5,0.268437538912257,0.16790618755048536,164.7510111457209
lambda=0.5,Gandum (9),1.0,0.5415954981885204,0.3725924230546117,171.8281828459045
lambda=0.5,Kedelai (7),0.5,0.2592008399129713,0.13198280281073926,124.97934763663245
lambda=0.5,Kedelai (7),1.0,0.6274482290057225,0.36998036551636665,171.8281828459045
lambda=0.5,Gula (65),0.5,2.1729660179238173,1.5282106403713775,22.571540803972056
lambda=0.5,Gula (65),1.0,8.00406621850358,6.060969185033601,54.55897645770153
lambda=0.5,Tepung-terigu dst (61),0.5,1.46574839985365,1.0970300239688024,16.28941241199393
lambda=0.5,Tepung-terigu dst (61),1.0,5.479752952719028,4.376800389670035,38.06817645849938
lambda=0.5,Kakao (23),0.5,0.4349863246039678,0.2703124066089244,4.735512184272528
lambda=0.5,Kakao (23),1.0,1.4011414130613904,0.885271862288088,9.994126760943933
lambda=0.5,Olahan buah-sayur (57),0.5,0.10783984103993671,0.0535605984624116,10.596077691351002
lambda=0.5,Olahan buah-sayur (57),1.0,0.32607304098825457,0.16789051447778366,23.70383181796023
lambda=0.5,Garam (50),0.5,0.07034981891835562,0.04296904067963706,38.5146323171925
lambda=0.5,Garam (50),1.0,0.2871503129315097,0.18607820939916236,107.75047488962545
lambda=0.5,BUNDEL hasil saringan,0.5,2.642515277736462,1.8054383081001206,164.7510111457209
lambda=0.5,BUNDEL hasil saringan,1.0,9.163968602670629,6.871751672396758,171.8281828459045
subst-sempurna,Gandum (9),0.5,0.26768353222022045,0.16746333287070927,171.8281828459045
subst-sempurna,Gandum (9),1.0,0.5353881201509496,0.364491563048577,171.8281828459045
subst-sempurna,Kedelai (7),0.5,0.24552996152915482,0.12472819276540621,171.8281828459045
subst-sempurna,Kedelai (7),1.0,0.4912299354329668,0.26428118777138593,171.8281828459045
subst-sempurna,Gula (65),0.5,1.8787738872044177,1.3177135850919484,50.23782615059784
subst-sempurna,Gula (65),1.0,3.7597906028386574,2.6863472782901114,138.88477203652337
subst-sempurna,Tepung-terigu dst (61),0.5,1.2632305432465276,0.9429869448993111,35.23227439126806
subst-sempurna,Tepung-terigu dst (61),1.0,2.527982437574996,1.9181934491050854,90.62821350575322
subst-sempurna,Kakao (23),0.5,0.38008346382084485,0.23598937071217888,9.695275125018977
subst-sempurna,Kakao (23),1.0,0.7606625429998829,0.47520586211441895,20.987079219026008
subst-sempurna,Olahan buah-sayur (57),0.5,0.0964299810525756,0.047819525497100855,22.314924007113458
subst-sempurna,Olahan buah-sayur (57),1.0,0.1929761440680588,0.09703815101747192,53.02638006446192
subst-sempurna,Garam (50),0.5,0.05996146153666603,0.036557933727055285,91.86303365967031
subst-sempurna,Garam (50),1.0,0.11999312460580416,0.07397793678456409,171.8281828459045
subst-sempurna,BUNDEL hasil saringan,0.5,2.330210259637369,1.5828459646092141,171.8281828459045
subst-sempurna,BUNDEL hasil saringan,1.0,4.662868794214337,3.2670383861504333,171.8281828459045
kaskade-ketat,Gandum (9),0.5,55.408508423058734,42.81213403438542,171.8281828459045
kaskade-ketat,Gandum (9),1.0,99.99999999999991,99.99999999733983,171.8281828459045
kaskade-ketat,Kedelai (7),0.5,45.94007263474228,34.52550018846683,171.8281828459045
kaskade-ketat,Kedelai (7),1.0,99.89727522395798,99.23857450524474,171.8281828459045
kaskade-ketat,Gula (65),0.5,20.885939624758517,14.865112485795729,50.23782615059784
kaskade-ketat,Gula (65),1.0,75.07826977873503,62.75269812057177,138.88477203652337
kaskade-ketat,Tepung-terigu dst (61),0.5,23.115978884242367,16.519701507294055,35.23227439126806
kaskade-ketat,Tepung-terigu dst (61),1.0,79.4978296953201,67.57926553828463,90.62821350575322
kaskade-ketat,Kakao (23),0.5,10.03559905500783,7.008657367501752,9.695275125018977
kaskade-ketat,Kakao (23),1.0,32.310996816953946,23.51748300945921,20.987079219026008
kaskade-ketat,Olahan buah-sayur (57),0.5,19.64565495591291,13.950718182511341,22.314924007113458
kaskade-ketat,Olahan buah-sayur (57),1.0,58.94779213484222,46.07987826154685,53.02638006446192
kaskade-ketat,Garam (50),0.5,0.07034981891835562,0.04296904067963706,91.86303365967031
kaskade-ketat,Garam (50),1.0,0.2871503129315097,0.18607820939916236,171.8281828459045
kaskade-ketat,BUNDEL hasil saringan,0.5,55.408508423058734,42.81213403438542,171.8281828459045
kaskade-ketat,BUNDEL hasil saringan,1.0,99.99999999999991,99.99999999733983,171.8281828459045
tanpa-exempt,Gandum (9),0.5,2.548459889313938,1.4020198966833741,171.8281828459045
tanpa-exempt,Gandum (9),1.0,5.079220536719813,3.328449547710617,171.8281828459045
tanpa-exempt,Kedelai (7),0.5,0.2592008399129713,0.13198280281073926,171.8281828459045
tanpa-exempt,Kedelai (7),1.0,0.6274482290057225,0.36998036551636665,171.8281828459045
tanpa-exempt,Gula (65),0.5,2.1729660179238173,1.5282106403713775,50.23782615059784
tanpa-exempt,Gula (65),1.0,8.00406621850358,6.060969185033601,138.88477203652337
tanpa-exempt,Tepung-terigu dst (61),0.5,1.46574839985365,1.0970300239688024,35.23227439126806
tanpa-exempt,Tepung-terigu dst (61),1.0,5.479752952719028,4.376800389670035,90.62821350575322
tanpa-exempt,Kakao (23),0.5,0.4349863246039678,0.2703124066089244,9.695275125018977
tanpa-exempt,Kakao (23),1.0,1.4011414130613904,0.885271862288088,20.987079219026008
tanpa-exempt,Olahan buah-sayur (57),0.5,0.10783984103993671,0.0535605984624116,22.314924007113458
tanpa-exempt,Olahan buah-sayur (57),1.0,0.32607304098825457,0.16789051447778366,53.02638006446192
tanpa-exempt,Garam (50),0.5,0.07034981891835562,0.04296904067963706,91.86303365967031
tanpa-exempt,Garam (50),1.0,0.2871503129315097,0.18607820939916236,171.8281828459045
tanpa-exempt,BUNDEL hasil saringan,0.5,4.710226099580595,2.904121548630693,171.8281828459045
tanpa-exempt,BUNDEL hasil saringan,1.0,13.03535377972233,9.436267741138154,171.8281828459045
